date,train_id,route_id,section_id,origin_station,destination_station,distance_km,scheduled_section_time_min,actual_section_time_min,current_delay_min,average_speed_kmph,congestion_level,weather_condition,operational_event,dwell_time_min,historical_section_avg_time
2025-01-03,14163,Route_North_1,CNB-LKO,CNB,LKO,123,92,121,101,60.9,0.63,Light Fog,Normal,4,110
2025-01-03,19031,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,101,25,26.1,0.83,Light Fog,Normal,9,47
2025-01-03,19031,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,119,93,35.2,0.95,Light Fog,Normal,9,68
2025-01-03,19031,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,140,160,39.7,0.85,Light Fog,Normal,5,86
2025-01-03,19031,Route_North_1,CNB-LKO,CNB,LKO,123,92,159,231,46.3,0.29,Light Fog,Normal,4,110
2025-01-04,12004,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,36,0,72.3,0.6,Clear,Normal,9,47
2025-01-04,12004,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,52,3,80.3,0.41,Clear,Normal,9,68
2025-01-04,12004,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,59,3,93.8,0.46,Clear,Normal,2,86
2025-01-04,12004,Route_North_1,CNB-LKO,CNB,LKO,123,92,83,0,88.2,0.25,Clear,Normal,7,110
2025-01-04,12301,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,28,12,93.0,0.44,Clear,Normal,2,47
2025-01-04,12301,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,134,7,31.2,0.59,Clear,Loco Issue,4,68
2025-01-04,12301,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,57,89,97.6,0.74,Clear,Normal,2,86
2025-01-04,12301,Route_North_1,CNB-LKO,CNB,LKO,123,92,82,77,89.3,0.43,Clear,Normal,9,110
2025-01-04,14163,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,44,18,59.1,0.43,Clear,Normal,8,47
2025-01-04,14163,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,70,29,59.3,0.98,Clear,Normal,4,68
2025-01-04,14163,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,89,47,62.2,0.82,Clear,Normal,7,86
2025-01-04,14163,Route_North_1,CNB-LKO,CNB,LKO,123,92,114,67,64.6,0.88,Clear,Normal,5,110
2025-01-04,19031,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,51,28,51.6,0.12,Clear,Normal,2,47
2025-01-04,19031,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,91,46,46.0,0.52,Heavy Rain,Normal,7,68
2025-01-04,19031,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,109,85,50.9,0.11,Clear,Normal,9,86
2025-01-04,19031,Route_North_1,CNB-LKO,CNB,LKO,123,92,148,125,49.7,0.62,Clear,Normal,5,110
2025-01-05,12004,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,43,0,60.7,0.39,Light Fog,Normal,2,47
2025-01-05,12004,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,61,10,68.5,0.86,Light Fog,Normal,9,68
2025-01-05,12004,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,73,19,75.9,0.29,Light Fog,Normal,7,86
2025-01-05,12004,Route_North_1,CNB-LKO,CNB,LKO,123,92,84,23,87.2,0.33,Light Fog,Normal,3,110
2025-01-05,12301,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,45,0,58.1,0.86,Light Fog,Normal,4,47
2025-01-05,12301,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,60,12,69.3,0.6,Light Fog,Normal,8,68
2025-01-05,12301,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,68,20,81.8,0.33,Light Fog,Normal,5,86
2025-01-05,12301,Route_North_1,CNB-LKO,CNB,LKO,123,92,91,19,80.6,0.55,Light Fog,Normal,5,110
2025-01-05,14163,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,73,36,35.8,0.9,Light Fog,Normal,5,47
2025-01-05,14163,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,86,76,48.4,0.49,Light Fog,Normal,2,68
2025-01-05,14163,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,116,110,47.8,0.98,Light Fog,Normal,5,86
2025-01-05,14163,Route_North_1,CNB-LKO,CNB,LKO,123,92,124,157,59.4,0.37,Light Fog,Normal,5,110
2025-01-05,19031,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,90,29,29.3,0.85,Light Fog,Normal,5,47
2025-01-05,19031,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,108,86,38.8,0.18,Light Fog,Normal,9,68
2025-01-05,19031,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,131,142,42.4,0.59,Light Fog,Normal,5,86
2025-01-05,19031,Route_North_1,CNB-LKO,CNB,LKO,123,92,176,204,41.8,0.97,Light Fog,Normal,7,110
2025-01-06,12004,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,34,0,76.5,0.27,Clear,Normal,7,47
2025-01-06,12004,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,46,1,90.6,0.47,Clear,Normal,3,68
2025-01-06,12004,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,64,0,86.5,0.32,Clear,Normal,7,86
2025-01-06,12004,Route_North_1,CNB-LKO,CNB,LKO,123,92,85,0,86.1,0.35,Clear,Normal,9,110
2025-01-06,12301,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,32,0,81.5,0.49,Clear,Normal,6,47
2025-01-06,12301,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,47,0,88.2,0.42,Clear,Normal,6,68
2025-01-06,12301,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,63,0,88.3,0.18,Clear,Normal,8,86
2025-01-06,12301,Route_North_1,CNB-LKO,CNB,LKO,123,92,78,0,93.9,0.73,Heavy Rain,Normal,5,110
2025-01-06,14163,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,43,0,60.5,0.14,Clear,Normal,7,47
2025-01-06,14163,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,60,10,69.1,0.44,Clear,Normal,3,68
2025-01-06,14163,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,83,18,66.7,0.59,Clear,Normal,6,86
2025-01-06,14163,Route_North_1,CNB-LKO,CNB,LKO,123,92,107,32,68.8,0.68,Clear,Normal,2,110
2025-01-06,19031,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,68,31,38.7,0.82,Clear,Normal,5,47
2025-01-06,19031,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,88,66,47.6,0.51,Clear,Normal,4,68
2025-01-06,19031,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,123,102,45.2,0.84,Clear,Normal,9,86
2025-01-06,19031,Route_North_1,CNB-LKO,CNB,LKO,123,92,142,156,51.8,0.16,Clear,Normal,8,110
2025-01-07,12004,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,30,12,86.6,0.45,Clear,Normal,3,47
2025-01-07,12004,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,48,9,86.9,0.35,Heavy Rain,Normal,5,68
2025-01-07,12004,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,66,5,83.9,0.94,Clear,Normal,9,86
2025-01-07,12004,Route_North_1,CNB-LKO,CNB,LKO,123,92,79,2,92.6,0.35,Clear,Normal,3,110
2025-01-07,12301,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,30,1,86.8,0.62,Clear,Normal,4,47
2025-01-07,12301,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,50,0,83.0,0.8,Clear,Normal,9,68
2025-01-07,12301,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,63,0,88.3,0.31,Clear,Normal,8,86
2025-01-07,12301,Route_North_1,CNB-LKO,CNB,LKO,123,92,75,0,97.6,0.19,Clear,Normal,2,110
2025-01-07,14163,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,41,3,63.4,0.19,Clear,Normal,5,47
2025-01-07,14163,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,65,11,63.9,0.18,Heavy Rain,Normal,8,68
2025-01-07,14163,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,79,24,70.0,0.53,Clear,Normal,3,86
2025-01-07,14163,Route_North_1,CNB-LKO,CNB,LKO,123,92,104,34,70.8,0.36,Clear,Normal,2,110
2025-01-07,19031,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,75,75,35.1,0.95,Clear,Normal,9,47
2025-01-07,19031,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,92,117,45.5,0.54,Clear,Normal,8,68
2025-01-07,19031,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,119,157,46.7,0.76,Clear,Normal,6,86
2025-01-07,19031,Route_North_1,CNB-LKO,CNB,LKO,123,92,138,207,53.3,0.23,Clear,Normal,3,110
2025-01-08,12004,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,34,11,76.5,0.3,Light Fog,Normal,3,47
2025-01-08,12004,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,50,12,83.4,0.23,Light Fog,Normal,7,68
2025-01-08,12004,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,64,10,86.5,0.44,Light Fog,Normal,7,86
2025-01-08,12004,Route_North_1,CNB-LKO,CNB,LKO,123,92,102,5,71.9,0.95,Light Fog,Normal,5,110
2025-01-08,12301,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,54,11,48.5,0.74,Light Fog,Normal,6,47
2025-01-08,12301,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,57,32,72.9,0.73,Light Fog,Normal,3,68
2025-01-08,12301,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,72,37,77.3,0.49,Light Fog,Normal,6,86
2025-01-08,12301,Route_North_1,CNB-LKO,CNB,LKO,123,92,99,40,74.1,0.61,Light Fog,Normal,5,110
2025-01-08,14163,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,68,22,38.4,0.71,Light Fog,Normal,2,47
2025-01-08,14163,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,71,57,58.5,0.3,Light Fog,Normal,3,68
2025-01-08,14163,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,115,76,48.2,0.97,Light Fog,Normal,6,86
2025-01-08,14163,Route_North_1,CNB-LKO,CNB,LKO,123,92,129,122,57.1,0.93,Light Fog,Normal,5,110
2025-01-08,19031,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,101,20,26.1,0.97,Light Fog,Normal,8,47
2025-01-08,19031,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,104,88,40.3,0.73,Light Fog,Normal,6,68
2025-01-08,19031,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,132,140,42.1,0.45,Light Fog,Normal,5,86
2025-01-08,19031,Route_North_1,CNB-LKO,CNB,LKO,123,92,154,203,47.8,0.15,Light Fog,Normal,5,110
2025-01-09,12004,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,32,0,81.2,0.31,Clear,Normal,5,47
2025-01-09,12004,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,50,0,83.4,0.99,Clear,Normal,7,68
2025-01-09,12004,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,63,0,87.9,0.47,Heavy Rain,Normal,6,86
2025-01-09,12004,Route_North_1,CNB-LKO,CNB,LKO,123,92,82,0,89.3,0.92,Clear,Normal,6,110
2025-01-09,12301,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,28,0,93.0,0.62,Clear,Normal,2,47
2025-01-09,12301,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,47,0,88.2,0.88,Clear,Normal,6,68
2025-01-09,12301,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,58,0,95.9,0.8,Clear,Normal,3,86
2025-01-09,12301,Route_North_1,CNB-LKO,CNB,LKO,123,92,81,0,90.4,0.63,Clear,Normal,8,110
2025-01-09,14163,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,44,33,59.1,0.13,Clear,Normal,8,47
2025-01-09,14163,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,66,44,62.9,0.88,Clear,Normal,2,68
2025-01-09,14163,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,92,58,60.2,0.92,Clear,Normal,8,86
2025-01-09,14163,Route_North_1,CNB-LKO,CNB,LKO,123,92,111,81,66.4,0.86,Clear,Normal,2,110
2025-01-09,19031,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,59,2,44.6,0.33,Clear,Normal,6,47
2025-01-09,19031,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,97,28,43.2,0.7,Clear,Normal,9,68
2025-01-09,19031,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,103,73,53.9,0.12,Heavy Rain,Normal,3,86
2025-01-09,19031,Route_North_1,CNB-LKO,CNB,LKO,123,92,147,107,50.1,0.57,Clear,Normal,5,110
2025-01-10,12004,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,36,18,72.3,0.48,Light Fog,Normal,6,47
2025-01-10,12004,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,62,21,67.4,0.82,Light Fog,Normal,7,68
2025-01-10,12004,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,86,31,64.5,0.98,Light Fog,Normal,3,86
2025-01-10,12004,Route_North_1,CNB-LKO,CNB,LKO,123,92,104,48,70.5,0.6,Light Fog,Normal,8,110
2025-01-10,12301,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,36,36,72.5,0.59,Light Fog,Normal,9,47
2025-01-10,12301,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,51,39,81.4,0.37,Light Fog,Normal,4,68
2025-01-10,12301,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,79,38,70.5,0.82,Light Fog,Normal,9,86
2025-01-10,12301,Route_North_1,CNB-LKO,CNB,LKO,123,92,106,48,69.2,0.79,Light Fog,Normal,9,110
2025-01-10,14163,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,60,12,43.5,0.29,Light Fog,Normal,9,47
2025-01-10,14163,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,91,39,45.8,0.58,Light Fog,Normal,8,68
2025-01-10,14163,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,102,78,54.4,0.73,Light Fog,Normal,9,86
2025-01-10,14163,Route_North_1,CNB-LKO,CNB,LKO,123,92,117,111,63.0,0.47,Light Fog,Normal,4,110
2025-01-10,19031,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,84,0,31.4,0.26,Light Fog,Normal,4,47
2025-01-10,19031,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,107,51,39.1,0.41,Light Fog,Normal,6,68
2025-01-10,19031,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,125,106,44.4,0.59,Light Fog,Normal,2,86
2025-01-10,19031,Route_North_1,CNB-LKO,CNB,LKO,123,92,182,162,40.5,0.9,Light Fog,Normal,7,110
2025-01-11,12004,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,31,0,83.8,0.56,Clear,Normal,4,47
2025-01-11,12004,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,45,0,92.6,0.35,Clear,Normal,2,68
2025-01-11,12004,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,65,0,85.2,0.99,Clear,Normal,8,86
2025-01-11,12004,Route_North_1,CNB-LKO,CNB,LKO,123,92,84,0,87.2,0.66,Clear,Normal,8,110
2025-01-11,12301,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,30,4,86.8,0.16,Clear,Normal,4,47
2025-01-11,12301,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,48,1,86.4,0.91,Clear,Normal,7,68
2025-01-11,12301,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,62,0,89.7,0.88,Clear,Normal,7,86
2025-01-11,12301,Route_North_1,CNB-LKO,CNB,LKO,123,92,79,0,92.7,0.34,Clear,Normal,6,110
2025-01-11,14163,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,39,15,66.6,0.58,Clear,Normal,2,47
2025-01-11,14163,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,65,21,63.9,0.71,Clear,Normal,4,68
2025-01-11,14163,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,85,34,65.1,0.63,Clear,Normal,7,86
2025-01-11,14163,Route_North_1,CNB-LKO,CNB,LKO,123,92,106,50,69.5,0.49,Clear,Normal,4,110
2025-01-11,19031,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,74,0,35.6,0.91,Clear,Normal,9,47
2025-01-11,19031,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,99,41,42.3,0.99,Clear,Normal,6,68
2025-01-11,19031,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,263,88,21.2,0.24,Clear,Signal Failure,5,86
2025-01-11,19031,Route_North_1,CNB-LKO,CNB,LKO,123,92,156,282,47.2,0.83,Clear,Normal,9,110
2025-01-12,12004,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,44,10,59.3,0.98,Light Fog,Normal,3,47
2025-01-12,12004,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,72,21,58.1,0.93,Light Fog,Normal,7,68
2025-01-12,12004,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,66,41,83.9,0.54,Light Fog,Normal,4,86
2025-01-12,12004,Route_North_1,CNB-LKO,CNB,LKO,123,92,100,38,73.3,0.75,Light Fog,Normal,9,110
2025-01-12,12301,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,44,0,59.5,0.85,Light Fog,Normal,7,47
2025-01-12,12301,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,66,11,63.1,0.74,Light Fog,Normal,2,68
2025-01-12,12301,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,59,25,94.3,0.58,Light Fog,Normal,3,86
2025-01-12,12301,Route_North_1,CNB-LKO,CNB,LKO,123,92,84,15,87.2,0.18,Light Fog,Normal,8,110
2025-01-12,14163,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,59,65,44.2,0.4,Light Fog,Normal,6,47
2025-01-12,14163,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,97,91,43.0,0.99,Light Fog,Normal,9,68
2025-01-12,14163,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,88,136,62.9,0.33,Light Fog,Normal,2,86
2025-01-12,14163,Route_North_1,CNB-LKO,CNB,LKO,123,92,127,155,58.0,0.64,Light Fog,Normal,8,110
2025-01-12,19031,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,72,0,36.6,0.2,Light Fog,Normal,7,47
2025-01-12,19031,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,105,39,39.9,0.47,Light Fog,Normal,2,68
2025-01-12,19031,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,125,92,44.4,0.44,Light Fog,Normal,9,86
2025-01-12,19031,Route_North_1,CNB-LKO,CNB,LKO,123,92,154,148,47.8,0.14,Light Fog,Normal,4,110
2025-01-13,12004,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,49,0,53.3,0.83,Light Fog,Normal,3,47
2025-01-13,12004,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,51,16,81.8,0.38,Light Fog,Normal,2,68
2025-01-13,12004,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,71,15,78.0,0.51,Light Fog,Normal,7,86
2025-01-13,12004,Route_North_1,CNB-LKO,CNB,LKO,123,92,87,17,84.2,0.66,Light Fog,Normal,8,110
2025-01-13,12301,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,46,1,56.9,0.62,Light Fog,Normal,2,47
2025-01-13,12301,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,58,14,71.7,0.58,Light Fog,Normal,9,68
2025-01-13,12301,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,59,20,94.3,0.21,Light Fog,Normal,4,86
2025-01-13,12301,Route_North_1,CNB-LKO,CNB,LKO,123,92,98,10,74.8,0.4,Light Fog,Normal,8,110
2025-01-13,14163,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,55,9,47.4,0.62,Light Fog,Normal,2,47
2025-01-13,14163,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,70,31,59.3,0.32,Light Fog,Normal,7,68
2025-01-13,14163,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,98,49,56.6,0.74,Light Fog,Normal,4,86
2025-01-13,14163,Route_North_1,CNB-LKO,CNB,LKO,123,92,125,78,58.9,0.19,Light Fog,Normal,8,110
2025-01-13,19031,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,95,31,27.7,0.51,Light Fog,Normal,9,47
2025-01-13,19031,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,114,93,36.8,0.59,Light Fog,Normal,5,68
2025-01-13,19031,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,145,155,38.3,0.75,Light Fog,Normal,4,86
2025-01-13,19031,Route_North_1,CNB-LKO,CNB,LKO,123,92,164,231,44.9,0.74,Light Fog,Normal,5,110
2025-01-14,12004,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,32,13,81.2,0.95,Clear,Normal,5,47
2025-01-14,12004,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,45,12,92.6,0.19,Clear,Normal,2,68
2025-01-14,12004,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,62,5,89.3,0.94,Heavy Rain,Normal,5,86
2025-01-14,12004,Route_North_1,CNB-LKO,CNB,LKO,123,92,84,0,87.2,0.12,Clear,Normal,8,110
2025-01-14,12301,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,33,26,79.0,0.65,Clear,Normal,7,47
2025-01-14,12301,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,45,26,92.1,0.86,Clear,Normal,4,68
2025-01-14,12301,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,62,19,89.7,0.99,Clear,Normal,7,86
2025-01-14,12301,Route_North_1,CNB-LKO,CNB,LKO,123,92,80,12,91.6,0.4,Clear,Normal,7,110
2025-01-14,14163,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,41,60,63.4,0.4,Clear,Normal,5,47
